,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
31072,36.03.22.2010,36.03.22,36.03,36,7123.0,2369.0
31073,36.03.23.1001,36.03.23,36.03,36,14149.0,4726.0
31074,36.03.23.2006,36.03.23,36.03,36,6888.0,2430.0
31075,36.03.23.2011,36.03.23,36.03,36,14624.0,4890.0
31076,36.71.07.1004,36.71.07,36.71,36,15191.0,5240.0
31077,36.03.27.2001,36.03.27,36.03,36,5946.0,2042.0
31078,36.03.27.2002,36.03.27,36.03,36,8213.0,2780.0
31079,36.03.27.2004,36.03.27,36.03,36,4965.0,1745.0
31080,36.03.27.2005,36.03.27,36.03,36,12687.0,3971.0
31081,36.03.27.2006,36.03.27,36.03,36,7721.0,2596.0
31082,36.03.32.2002,36.03.32,36.03,36,4603.0,1698.0
31083,36.03.27.2007,36.03.27,36.03,36,7675.0,2602.0
31084,36.03.28.1002,36.03.28,36.03,36,38841.0,12780.0
31085,36.03.32.2003,36.03.32,36.03,36,5730.0,2144.0
31086,36.03.29.2003,36.03.29,36.03,36,14344.0,4727.0
31087,36.03.29.2005,36.03.29,36.03,36,14146.0,4654.0
31088,36.03.29.2006,36.03.29,36.03,36,11227.0,3615.0
31089,36.03.30.2002,36.03.30,36.03,36,23158.0,7755.0
31090,36.03.30.2003,36.03.30,36.03,36,7915.0,2620.0
31091,36.03.30.2005,36.03.30,36.03,36,13084.0,4486.0
31092,36.03.30.2006,36.03.30,36.03,36,7881.0,2725.0
31093,36.03.30.2008,36.03.30,36.03,36,8271.0,2756.0
31094,36.03.31.2001,36.03.31,36.03,36,9101.0,2957.0
31095,36.03.31.2003,36.03.31,36.03,36,19747.0,6286.0
31096,36.03.31.2004,36.03.31,36.03,36,4696.0,1541.0
31097,36.03.31.2007,36.03.31,36.03,36,9281.0,2959.0
31098,36.03.32.2007,36.03.32,36.03,36,7377.0,2680.0
31099,36.03.32.2008,36.03.32,36.03,36,4422.0,1529.0
31100,36.03.32.2009,36.03.32,36.03,36,4502.0,1611.0
31101,36.03.33.2001,36.03.33,36.03,36,3614.0,1338.0
31102,36.03.33.2005,36.03.33,36.03,36,2700.0,960.0
31103,36.03.33.2006,36.03.33,36.03,36,5362.0,1957.0
31104,36.03.33.2008,36.03.33,36.03,36,4820.0,1727.0
31105,36.04.05.2002,36.04.05,36.04,36,4789.0,1507.0
31106,36.04.05.2005,36.04.05,36.04,36,11544.0,3436.0
31107,36.04.06.2011,36.04.06,36.04,36,2956.0,924.0
31108,36.04.05.2010,36.04.05,36.04,36,5170.0,1565.0
31109,36.04.05.2012,36.04.05,36.04,36,4563.0,1415.0
31110,36.04.05.2013,36.04.05,36.04,36,8227.0,2301.0
31111,36.04.05.2014,36.04.05,36.04,36,1728.0,543.0
31112,36.04.06.2006,36.04.06,36.04,36,7155.0,2237.0
